@relation 'AT: pml-training-weka.filters.unsupervised.attribute.Remove-R2-7,12-13,15-36,50-59,69-83,87-101,103-112,125-139,141-150-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R54-weka.filters.unsupervised.attribute.Standardize_principal components'

@attribute 0.317accel_belt_y-0.317accel_belt_z+0.308roll_belt+0.304total_accel_belt-0.269accel_arm_y... numeric
@attribute '0.294accel_belt_x-0.292pitch_belt+0.29 magnet_belt_x-0.266yaw_dumbbell+0.253yaw_belt...' numeric
@attribute '0.37 magnet_arm_y+0.307magnet_arm_z+0.275accel_arm_z-0.266magnet_arm_x+0.23 pitch_arm...' numeric
@attribute 0.453gyros_forearm_z+0.452gyros_dumbbell_z-0.451gyros_dumbbell_x+0.409gyros_forearm_y+0.352gyros_dumbbell_y... numeric
@attribute '-0.334accel_forearm_z+0.329magnet_forearm_z-0.277magnet_arm_z+0.27 magnet_belt_y+0.267accel_arm_x...' numeric
@attribute '0.401accel_forearm_y+0.284yaw_forearm+0.224magnet_forearm_y+0.22 magnet_dumbbell_z+0.217accel_arm_x...' numeric
@attribute 0.518gyros_arm_x-0.492gyros_arm_y+0.351magnet_forearm_y+0.224gyros_arm_z+0.188accel_forearm_y... numeric
@attribute 0.376magnet_forearm_x+0.333total_accel_arm-0.294roll_dumbbell+0.281accel_forearm_x-0.269pitch_dumbbell... numeric
@attribute '0.352pitch_dumbbell+0.35 magnet_forearm_x+0.345roll_dumbbell-0.306gyros_arm_y+0.3  gyros_arm_x...' numeric
@attribute -0.337magnet_forearm_y+0.306gyros_arm_x-0.297gyros_arm_y-0.278pitch_dumbbell-0.25total_accel_arm... numeric
@attribute '-0.425total_accel_arm+0.38 magnet_forearm_x+0.324accel_forearm_x-0.276pitch_arm-0.255total_accel_forearm...' numeric
@attribute '0.45 magnet_belt_z+0.374magnet_belt_y+0.309roll_arm-0.25roll_dumbbell-0.247accel_dumbbell_y...' numeric
@attribute -0.944kurtosis_yaw_belt-0.144yaw_arm+0.133total_accel_forearm-0.102roll_forearm-0.101pitch_forearm... numeric
@attribute classe {A,B,C,D,E}

@data
-4.33563,1.67402,2.762375,0.836507,1.281709,-2.056931,0.171612,2.7462,-0.033634,-0.282709,-0.686383,-0.933053,1.159931,A
-4.342022,1.6381,2.75531,0.831934,1.268479,-2.033496,0.161439,2.757497,-0.0195,-0.265584,-0.704811,-0.970012,1.166285,A
-4.286892,1.708306,2.714546,0.803877,1.249958,-2.087784,0.212716,2.757649,-0.048123,-0.301969,-0.630822,-0.889669,1.143745,A
-4.326454,1.68649,2.788421,0.833232,1.337181,-2.086408,0.175498,2.737249,0.001465,-0.272438,-0.69449,-0.868238,1.157741,A
-4.356176,1.702112,2.760227,0.834543,1.335714,-2.097075,0.192278,2.741986,-0.007935,-0.287612,-0.68209,-0.883333,1.154869,A
-4.410694,1.69633,2.777265,0.827732,1.397767,-2.142897,0.207487,2.675071,0.013394,-0.313147,-0.66291,-0.780769,1.149367,A
-4.346652,1.753979,2.72943,0.815688,1.3114,-2.126335,0.20953,2.714802,-0.022189,-0.303845,-0.640553,-0.878163,1.142,A
-4.369887,1.697706,2.759438,0.827916,1.361446,-2.109963,0.189303,2.716681,0.003048,-0.290193,-0.677773,-0.841168,1.153465,A
-4.338389,1.702821,2.795216,0.835107,1.287883,-2.143259,0.118707,2.764968,-0.124769,-0.071144,-0.803365,-1.390392,-5.473441,A
-4.362675,1.709285,2.743999,0.819738,1.309846,-2.103737,0.201392,2.731383,-0.037084,-0.28328,-0.670677,-0.901431,1.157143,A
-4.367758,1.66174,2.755215,0.829581,1.318909,-2.13431,0.206509,2.720129,-0.043498,-0.293123,-0.678496,-0.889497,1.158789,A
-4.33788,1.688366,2.703463,0.822141,1.242061,-2.044466,0.182893,2.778646,-0.041308,-0.275113,-0.712402,-0.99053,1.163258,A
-4.347741,1.685964,2.761031,0.837216,1.285795,-2.090369,0.191369,2.744537,-0.035958,-0.283598,-0.684522,-0.958982,1.163245,A
-4.373381,1.696839,2.737293,0.81541,1.313242,-2.079755,0.18043,2.740972,-0.012129,-0.276785,-0.687179,-0.905639,1.158118,A
-4.334524,1.722186,2.747698,0.820956,1.244332,-2.07704,0.189904,2.752672,-0.026935,-0.285077,-0.691773,-0.961167,1.158065,A
-4.321848,1.756957,2.710296,0.811807,1.311317,-2.130883,0.20315,2.743079,-0.042571,-0.31521,-0.645118,-0.852957,1.139515,A
-4.337536,1.675336,2.759517,0.840815,1.317226,-2.096581,0.190058,2.729634,-0.015558,-0.2833,-0.707801,-0.909825,1.159611,A
-4.341026,1.691335,2.762586,0.829425,1.313784,-2.038486,0.174096,2.759433,0.012897,-0.261606,-0.718859,-0.924158,1.157416,A
-4.340653,1.725828,2.720054,0.822436,1.325297,-2.158578,0.227398,2.737121,-0.034851,-0.295348,-0.661567,-0.898823,1.148007,A
-4.352318,1.684108,2.772767,0.834967,1.354129,-2.090467,0.176966,2.70424,0.005448,-0.280777,-0.710825,-0.835554,1.153098,A
-4.366896,1.64358,2.759495,0.836995,1.301576,-2.053277,0.176931,2.742657,-0.009376,-0.255597,-0.696666,-0.936695,1.16512,A
-4.352027,1.736762,2.747238,0.833942,1.318025,-2.104286,0.199088,2.733229,-0.024912,-0.269727,-0.650196,-0.880576,1.147695,A
-4.351818,1.657931,2.759009,0.836847,1.347632,-2.078262,0.176673,2.730748,-0.001482,-0.278826,-0.710739,-0.909477,1.159575,A
-4.355127,1.678478,2.733186,0.828212,1.291859,-2.067691,0.194752,2.762808,-0.027581,-0.26034,-0.689102,-0.953273,1.167333,A
-4.329162,1.710188,2.760133,0.841384,1.256,-2.084819,0.184936,2.752329,-0.016503,-0.292145,-0.694625,-0.968129,1.161962,A
-4.32763,1.743594,2.74821,0.831707,1.326058,-2.094585,0.183036,2.722129,0.0071,-0.31161,-0.690674,-0.831478,1.149366,A
-4.383858,1.687234,2.754165,0.826801,1.372692,-2.062298,0.180162,2.712439,0.008126,-0.286828,-0.695503,-0.821329,1.157957,A
-4.3173,1.727402,2.726276,0.834366,1.290161,-2.065861,0.192689,2.750352,-0.006307,-0.29247,-0.661665,-0.927447,1.154794,A
-4.297767,1.692531,2.764882,0.833997,1.285724,-2.071493,0.193952,2.775806,-0.003822,-0.264502,-0.661408,-0.93144,1.163192,A
-4.364201,1.708077,2.734458,0.819411,1.338335,-2.131895,0.217205,2.735243,-0.042736,-0.261686,-0.625708,-0.836489,1.155671,A
-4.32203,1.761475,2.758108,0.818718,1.322918,-2.098287,0.176591,2.734778,-0.026338,-0.261155,-0.632243,-0.841315,1.148598,A
-4.310004,1.716464,2.71755,0.816714,1.28903,-2.06457,0.192273,2.775252,-0.040688,-0.257526,-0.639282,-0.906446,1.15683,A
-4.310088,1.732014,2.7089,0.821131,1.230817,-2.011123,0.172798,2.762337,-0.034169,-0.278575,-0.695151,-0.971493,1.165973,A
-4.343548,1.683742,2.712294,0.819516,1.257806,-2.014951,0.164006,2.780905,-0.046572,-0.278257,-0.709499,-0.97651,1.174365,A
-4.302101,1.674246,2.717717,0.814016,1.253207,-2.028755,0.174029,2.75894,-0.019426,-0.297396,-0.68085,-0.929689,1.164203,A
-4.352113,1.67111,2.754681,0.825695,1.373186,-2.076278,0.179874,2.721191,0.015212,-0.294812,-0.692601,-0.853256,1.160136,A
-4.325461,1.711546,2.769126,0.820529,1.308879,-2.094692,0.116052,2.744897,-0.082339,-0.07154,-0.814002,-1.332941,-5.474648,A
-4.357527,1.700621,2.769777,0.815615,1.370014,-2.057573,0.158972,2.71505,0.02044,-0.28286,-0.695153,-0.839259,1.158138,A
-4.352848,1.646881,2.772475,0.835845,1.278493,-2.080013,0.173833,2.731707,-0.025495,-0.27349,-0.684859,-0.955814,1.172053,A
-4.365453,1.765255,2.756349,0.833977,1.379642,-2.108583,0.185192,2.653844,-0.005086,-0.313241,-0.672628,-0.795213,1.148613,A
-4.350358,1.716471,2.724579,0.829316,1.28577,-2.061647,0.177246,2.757523,-0.035113,-0.26829,-0.685658,-0.964107,1.169858,A
-4.399556,1.733244,2.67828,0.80501,1.280401,-2.043758,0.179803,2.703818,-0.013424,-0.296233,-0.692062,-0.899873,1.158185,A
-4.359736,1.671949,2.734482,0.823731,1.326685,-2.079762,0.194874,2.723046,-0.00564,-0.281436,-0.696044,-0.908412,1.16715,A
-4.321008,1.715784,2.741202,0.844996,1.280234,-2.046832,0.178914,2.741068,-0.036566,-0.267413,-0.693783,-0.95804,1.168641,A
-4.323367,1.705636,2.777294,0.849441,1.365522,-2.107095,0.196241,2.719485,0.005542,-0.295229,-0.677888,-0.857878,1.159627,A
-4.337553,1.672659,2.73988,0.827822,1.283398,-2.063043,0.196717,2.740144,-0.022858,-0.275757,-0.692855,-0.934994,1.170904,A
-4.369281,1.681941,2.768941,0.840362,1.366932,-2.096371,0.172727,2.720343,0.009007,-0.282243,-0.679746,-0.855353,1.161376,A
-4.342475,1.683505,2.75219,0.83271,1.321197,-2.060049,0.172925,2.705894,0.004358,-0.278317,-0.692121,-0.888915,1.165247,A
-4.348667,1.717281,2.761536,0.829024,1.419072,-2.095443,0.194607,2.700327,0.009872,-0.30487,-0.656709,-0.803088,1.154252,A
-4.33632,1.707066,2.750265,0.828091,1.34863,-2.046875,0.182979,2.734388,-0.018207,-0.268694,-0.703369,-0.899191,1.165423,A
-4.317087,1.68604,2.752191,0.820138,1.353286,-2.077354,0.183999,2.725431,0.001929,-0.299498,-0.693199,-0.850117,1.160063,A
-4.346472,1.694833,2.706661,0.814722,1.284117,-1.998667,0.147703,2.749866,-0.024014,-0.252471,-0.69748,-0.959452,1.173413,A
-4.370863,1.720586,2.772039,0.826729,1.367242,-2.091676,0.180839,2.677683,0.019997,-0.302703,-0.667883,-0.775636,1.152021,A
-4.339525,1.660296,2.740111,0.822305,1.3233,-2.059049,0.176653,2.726471,-0.016373,-0.283482,-0.682073,-0.882334,1.167537,A
-4.354272,1.722322,2.719576,0.823785,1.279157,-2.045999,0.172159,2.722663,-0.019311,-0.268825,-0.680519,-0.915879,1.164115,A
-4.362211,1.68586,2.730918,0.8274,1.286791,-2.086685,0.192266,2.715115,-0.020435,-0.297781,-0.683445,-0.877407,1.161643,A
-4.372083,1.698892,2.751784,0.832634,1.38233,-2.093645,0.18217,2.698189,0.00518,-0.287187,-0.65998,-0.819906,1.159241,A
-4.374848,1.7343,2.715987,0.812355,1.284955,-2.043868,0.169826,2.743493,-0.008825,-0.274501,-0.681765,-0.915549,1.16631,A
-4.393159,1.736766,2.727695,0.821029,1.348979,-2.08856,0.190279,2.732039,-0.008122,-0.275988,-0.66261,-0.846566,1.163766,A
-4.340283,1.754117,2.731405,0.811638,1.340198,-2.085854,0.18477,2.723193,0.004153,-0.282764,-0.647751,-0.792782,1.155606,A
-4.356301,1.710659,2.735307,0.814165,1.316225,-2.127601,0.143379,2.717439,-0.08297,-0.086061,-0.763993,-1.315174,-5.469538,A
-4.348402,1.762539,2.726753,0.815115,1.246568,-2.009991,0.168813,2.755194,-0.015448,-0.264039,-0.687411,-0.933185,1.165776,A
-4.36282,1.721142,2.743865,0.820972,1.346188,-2.085539,0.19144,2.69387,0.014848,-0.284034,-0.667998,-0.82574,1.161638,A
-4.364525,1.749343,2.732877,0.801787,1.377674,-2.088809,0.195744,2.699083,-0.003565,-0.305608,-0.667892,-0.829601,1.159349,A
-4.37073,1.715997,2.720909,0.808506,1.334491,-2.093776,0.20417,2.723804,-0.024539,-0.288299,-0.652555,-0.852812,1.166034,A
-4.362692,1.732345,2.72226,0.812809,1.363872,-2.094184,0.190311,2.687702,0.005053,-0.314784,-0.667356,-0.799467,1.15453,A
-4.35309,1.700947,2.701535,0.80915,1.249673,-2.032336,0.172428,2.751,-0.036091,-0.272445,-0.674389,-0.944241,1.171139,A
-4.330576,1.735717,2.734591,0.82132,1.315271,-2.057325,0.1613,2.738595,-0.028151,-0.264504,-0.69101,-0.880264,1.165344,A
-4.331937,1.686646,2.728522,0.826057,1.324371,-2.103032,0.195341,2.719473,-0.04361,-0.303556,-0.689289,-0.918123,1.170285,A
-4.369907,1.740499,2.718739,0.811759,1.314681,-2.077247,0.185106,2.702908,-0.030371,-0.295446,-0.670631,-0.87182,1.156422,A
-4.393858,1.731056,2.723905,0.810949,1.359761,-2.116345,0.204263,2.682831,-0.011217,-0.299317,-0.677857,-0.821152,1.153578,A
-4.387169,1.730048,2.733438,0.819484,1.386122,-2.116793,0.18181,2.674429,0.015534,-0.306834,-0.667188,-0.757054,1.148044,A
-4.338977,1.683338,2.749874,0.820489,1.325973,-2.06426,0.172281,2.743406,-0.023974,-0.265088,-0.682575,-0.891926,1.168952,A
-4.309968,1.673287,2.744639,0.832526,1.293178,-2.084856,0.204353,2.751276,-0.049664,-0.278076,-0.68665,-0.916545,1.169727,A
-4.320674,1.71018,2.727129,0.819159,1.296364,-2.046339,0.185386,2.743291,-0.03979,-0.275813,-0.695598,-0.941351,1.167629,A
-4.396834,1.727455,2.736383,0.821491,1.439176,-2.138195,0.202388,2.65882,-0.006628,-0.322237,-0.652729,-0.739739,1.147971,A
-4.340609,1.661755,2.729612,0.82889,1.347188,-2.086237,0.197429,2.742389,-0.045188,-0.288156,-0.688698,-0.918546,1.171307,A
-4.321364,1.680369,2.701133,0.820627,1.298056,-2.050832,0.197596,2.748373,-0.034893,-0.286252,-0.686687,-0.940983,1.16892,A
-4.376257,1.733041,2.740642,0.817155,1.409668,-2.142749,0.221986,2.671142,-0.007437,-0.311578,-0.65693,-0.75047,1.150215,A
-4.322603,1.673652,2.708231,0.813613,1.305391,-2.062597,0.203154,2.757731,-0.033624,-0.281643,-0.677783,-0.9475,1.17108,A
-4.354152,1.712879,2.74597,0.817464,1.410664,-2.144964,0.221284,2.669116,0.006833,-0.318975,-0.657335,-0.752157,1.150407,A
-4.367571,1.702983,2.730528,0.813483,1.363094,-2.065241,0.182653,2.696657,0.01188,-0.279093,-0.668569,-0.820074,1.158207,A
-4.353069,1.707848,2.753171,0.836697,1.407595,-2.094404,0.170203,2.71599,-0.026975,-0.294916,-0.68012,-0.849662,1.160068,A
-4.356207,1.709432,2.756163,0.836255,1.34341,-2.086352,0.174275,2.695878,-0.040449,-0.305169,-0.671256,-0.841105,1.16222,A
-4.34573,1.68693,2.725552,0.824134,1.336059,-2.10606,0.17431,2.723197,-0.040319,-0.299085,-0.663184,-0.867039,1.167131,A
-4.362047,1.695794,2.747237,0.837788,1.367048,-2.116837,0.192115,2.701643,-0.044321,-0.328841,-0.655425,-0.838529,1.162476,A
-4.36589,1.740245,2.718262,0.813747,1.360195,-2.078429,0.175509,2.719193,-0.023983,-0.29347,-0.656941,-0.833103,1.163965,A
-4.358528,1.740231,2.703281,0.821085,1.35925,-2.079236,0.175859,2.729791,-0.026235,-0.290826,-0.666257,-0.864663,1.167421,A
-4.400614,1.706644,2.715902,0.830839,1.440497,-2.148862,0.193953,2.677851,-0.00993,-0.32121,-0.629249,-0.746056,1.158486,A
-4.331796,1.665729,2.730886,0.836061,1.329303,-2.089315,0.198838,2.741018,-0.03639,-0.311131,-0.656388,-0.929565,1.17276,A
-4.336127,1.697539,2.705783,0.81259,1.292131,-2.059818,0.192311,2.762119,-0.047894,-0.291098,-0.657797,-0.935973,1.174944,A
-4.360192,1.773267,2.716577,0.804535,1.397783,-2.16302,0.206397,2.692232,-0.028366,-0.319862,-0.598457,-0.753594,1.148207,A
-4.384476,1.721226,2.713076,0.812379,1.350866,-2.085368,0.162363,2.696881,-0.011861,-0.294817,-0.668225,-0.844145,1.164782,A
-4.355497,1.718275,2.722534,0.819827,1.376058,-2.095643,0.164933,2.711851,-0.012868,-0.299062,-0.671667,-0.824714,1.164608,A
-4.356367,1.723074,2.728524,0.824675,1.307895,-2.066238,0.167073,2.731517,-0.025051,-0.291854,-0.677299,-0.903536,1.169896,A
-4.405975,1.711677,2.717963,0.817881,1.371258,-2.098216,0.175285,2.686866,-0.0154,-0.302443,-0.655682,-0.798055,1.161703,A
-4.392853,1.713157,2.723752,0.814502,1.367591,-2.092971,0.179636,2.701137,-0.029056,-0.30355,-0.650211,-0.82766,1.164367,A
-4.396503,1.709773,2.694463,0.806783,1.329208,-2.079201,0.205087,2.706336,-0.028317,-0.276067,-0.650916,-0.846359,1.16891,A
-4.362201,1.732372,2.748329,0.831911,1.393383,-2.117364,0.202391,2.698173,-0.014524,-0.298655,-0.639129,-0.807269,1.160204,A
-4.379872,1.665763,2.743215,0.810669,1.361657,-2.064761,0.199323,2.722916,-0.040358,-0.307203,-0.650447,-0.877499,1.189743,A
-4.408409,1.691398,2.731687,0.822032,1.388368,-2.079421,0.197318,2.702084,-0.024614,-0.263923,-0.63366,-0.827241,1.164976,A
-4.358716,1.714851,2.709465,0.818754,1.400792,-2.09913,0.200433,2.711577,-0.026607,-0.284099,-0.654128,-0.841728,1.165733,A
-4.321175,1.715722,2.722162,0.840109,1.363947,-2.094324,0.171386,2.743413,-0.016853,-0.280077,-0.65009,-0.876861,1.166638,A
-4.328472,1.679979,2.753268,0.834642,1.35734,-2.082371,0.186962,2.750883,-0.020672,-0.283634,-0.672471,-0.915819,1.177056,A
-4.350303,1.664152,2.732317,0.823851,1.326172,-2.015676,0.145429,2.732799,0.00308,-0.262353,-0.687948,-0.906407,1.180086,A
-4.382182,1.707577,2.804858,0.853053,1.505351,-2.159961,0.17909,2.630455,0.052178,-0.310376,-0.659947,-0.680749,1.154398,A
-4.353289,1.688518,2.73699,0.851476,1.413959,-2.114951,0.198956,2.679809,0.012399,-0.316499,-0.659466,-0.775738,1.167353,A
-4.391298,1.737019,2.725032,0.818585,1.440123,-2.146791,0.230206,2.620287,-0.020919,-0.357364,-0.596917,-0.668303,1.162823,A
-4.342741,1.701182,2.726606,0.843972,1.371943,-2.077202,0.183152,2.734287,-0.02197,-0.280534,-0.652272,-0.825518,1.167802,A
-4.328815,1.793378,2.715743,0.830367,1.417244,-2.150314,0.203392,2.666725,0.000585,-0.3327,-0.599535,-0.75241,1.145572,A
-4.363618,1.697609,2.712998,0.830277,1.386266,-2.104016,0.200651,2.724302,-0.012841,-0.296729,-0.647423,-0.874618,1.17506,A
-4.345784,1.733904,2.718089,0.82689,1.386954,-2.102527,0.206721,2.708292,-0.013604,-0.308848,-0.636772,-0.861311,1.169104,A
-4.377814,1.760352,2.701214,0.816018,1.369357,-2.115518,0.205239,2.693798,-0.000411,-0.311402,-0.641029,-0.811329,1.15967,A
-4.390225,1.752388,2.655555,0.8088,1.350685,-2.104821,0.217904,2.691705,0.006729,-0.313873,-0.641607,-0.852673,1.16674,A
-4.385856,1.758636,2.668604,0.822864,1.342181,-2.132337,0.22504,2.729507,-0.059664,-0.311639,-0.637947,-0.919507,1.173437,A
-4.358682,1.827757,2.655023,0.821405,1.37727,-2.202941,0.240652,2.70584,-0.069128,-0.338514,-0.581536,-0.837593,1.15462,A
-4.384592,1.732927,2.680271,0.832693,1.357245,-2.116605,0.205192,2.745284,-0.047777,-0.295852,-0.641097,-0.948922,1.182397,A
-4.364447,1.763977,2.682548,0.817095,1.339684,-2.083492,0.189297,2.759506,-0.042814,-0.284091,-0.654388,-0.940408,1.179918,A
-4.35007,1.724199,2.722195,0.832127,1.360777,-2.082326,0.167292,2.763214,-0.047727,-0.285737,-0.6498,-0.940377,1.18441,A
-4.301665,1.761646,2.679936,0.814896,1.326895,-2.060109,0.174162,2.793514,-0.081869,-0.292881,-0.62004,-0.956274,1.176424,A
-4.33402,1.782647,2.765966,0.834033,1.475733,-2.145854,0.178474,2.713692,-0.020519,-0.307437,-0.604299,-0.749022,1.155305,A
-4.301743,1.782673,2.755531,0.834369,1.38219,-2.084871,0.16461,2.737181,-0.042803,-0.276109,-0.608994,-0.828615,1.166729,A
-4.29153,1.738494,2.743627,0.829532,1.379501,-2.08525,0.19108,2.769706,-0.036688,-0.260462,-0.634929,-0.911756,1.177999,A
-4.286704,1.770043,2.715627,0.826937,1.347789,-2.083171,0.202785,2.770792,-0.050057,-0.286308,-0.632913,-0.933159,1.173818,A
-4.302383,1.711802,2.737979,0.837602,1.354954,-2.050073,0.173391,2.764826,-0.022871,-0.257233,-0.671904,-0.9285,1.188617,A
-4.329687,1.733448,2.745967,0.838155,1.45993,-2.097508,0.184436,2.711308,-0.006471,-0.280565,-0.65494,-0.814453,1.176714,A
-4.319921,1.725283,2.737287,0.831364,1.422057,-2.078414,0.187536,2.72797,-0.020037,-0.273871,-0.662194,-0.868494,1.180981,A
-4.327447,1.77334,2.763536,0.841647,1.485507,-2.129553,0.198284,2.680013,0.017108,-0.302281,-0.648687,-0.74005,1.162672,A
-4.351265,1.73507,2.739172,0.830055,1.39349,-2.056225,0.175063,2.749184,-0.00837,-0.261502,-0.647114,-0.882171,1.183587,A
-4.334884,1.731475,2.706447,0.829868,1.362762,-2.063793,0.169563,2.755453,-0.030987,-0.269215,-0.659447,-0.917663,1.185087,A
-4.341643,1.729339,2.730016,0.829885,1.385075,-2.070976,0.169111,2.742751,-0.033219,-0.282006,-0.654301,-0.896122,1.183108,A
-4.332374,1.745309,2.723755,0.822276,1.360608,-2.089251,0.175781,2.764449,-0.05913,-0.296853,-0.602782,-0.911501,1.174919,A
-4.382618,1.781753,2.772151,0.832838,1.522507,-2.124522,0.170539,2.677308,0.039904,-0.289814,-0.648276,-0.715534,1.165486,A
-4.332487,1.761431,2.717,0.835079,1.378999,-2.063043,0.160587,2.727638,-0.021024,-0.284253,-0.664983,-0.890252,1.183318,A
-4.346023,1.780679,2.743162,0.835098,1.460604,-2.104204,0.172201,2.701174,0.008899,-0.310706,-0.653344,-0.789877,1.170093,A
-4.388218,1.719077,2.738414,0.837145,1.417594,-2.042272,0.142583,2.711154,0.016112,-0.270641,-0.701863,-0.862539,1.190199,A
-2.569396,0.199836,0.928391,2.656891,0.017951,-2.369752,0.573056,1.558453,1.430973,-3.031779,0.60901,-1.068099,1.009579,A
-2.630689,-0.022965,1.342177,0.693255,-0.128352,-2.220773,0.555911,1.145235,1.544375,-2.79671,0.682748,0.206507,0.841429,A
-2.624087,0.00036,1.324237,0.735213,-0.071024,-2.217104,0.527288,1.021566,1.678547,-2.895424,0.683756,0.132736,0.843987,A
-2.518518,-0.186718,1.22143,0.771471,-0.143431,-2.133227,0.460561,0.76413,2.034926,-3.168664,0.73423,-0.128511,0.846356,A
-2.53778,-0.131689,1.242486,0.76895,-0.046224,-2.15309,0.427554,0.708404,2.06925,-3.193487,0.732975,0.010905,0.831679,A
-2.610864,-0.172107,1.26053,0.788193,-0.070107,-2.126244,0.451034,0.782611,1.992428,-3.097852,0.657901,-0.061618,0.857016,A
-2.6122,-0.021249,1.269285,0.769518,-0.082608,-2.09433,0.413448,0.837023,1.992274,-3.043421,0.654227,-0.148915,0.85502,A
-2.647721,0.02981,1.215919,0.721716,-0.120814,-2.13784,0.432527,0.862624,1.903001,-3.046914,0.69598,-0.187919,0.845945,A
-2.707335,-0.013342,1.258742,0.734047,-0.051134,-2.168377,0.444524,0.82251,1.936822,-3.026926,0.680459,-0.117518,0.847875,A
-2.676254,-0.022015,1.263845,0.687882,-0.035942,-2.099278,0.38293,0.750331,2.049435,-3.086357,0.680769,-0.174677,0.840744,A
